"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bhutan","BTN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3610","3630","3630","3650","3660","3680","3680","3700","3700","3820","3820","3850","3850","3920","3920","3980","4000","4000","4050","4130","4130","4180","4300","4440","4440","4440","4650","4600","4520","4540","5040","5040","5050","5090","5650","5700","5720","5720","5720","5300","5350","5350","5370","5840","5930","5770","5630","5213","5200","5200","5196","5196","5196","5256","5256","5190","5130","5130","","",
"Botswana","BWA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","260000","260000","260000","260000","260010","260010","260010","260010","260010","260010","260010","260020","260020","260020","260020","260020","260020","260020","260040","260040","260040","260060","260060","260060","260080","260080","260100","260100","260150","260210","259010","258510","259510","259960","259460","259460","259010","258310","258410","259510","258010","258460","257960","258270","258415","258030","257840","258810","259180","258610","259260","258870","258820","260040","258616","258616","258616","258616","","",
"Central African Republic","CAF","Agricultural land (sq. km)","AG.LND.AGRI.K2","","47380","47480","47560","47700","47800","47900","48000","48100","48200","48300","48400","48500","48600","48700","48900","49000","49100","49200","49300","49450","49450","49600","49700","49820","49830","50040","50050","50060","50060","50060","50080","50200","50200","50200","50100","50220","51230","51490","51490","51490","51490","51490","51950","52150","52150","52100","52100","52100","52300","50800","50800","50800","50800","50800","50800","50800","50800","50800","","",
"Canada","CAN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","618430","622800","627170","631540","635910","637010","635660","634310","632960","631610","630230","630500","630770","631040","631310","631589.9","627850","624100","620350","616600","612900","612120","611340","610560","609780","608988.92","610250","611510","612770","614030","615332.464","614650","613970","613290","612610","611920","612150","612390","612630","612870","613081.608","620910","619460","618010","616560","605840","600080","594320","588560","582800","576997","577710","578420","579130","579850","580500","580240","581990","","",
"Central Europe and the Baltics","CEB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","476790","476470","475850","476230","474830","475110","474340","475330","474350","473580","473070","471820","470470","470060","468950","471090","470540","469850","468720","467790","466380","466180","466080","466570","466420","466060","466390","465880","462170","461950","461720","560840","624860","621440","615910","610780","610260","605100","604520","591050","575370","562642","553227","545347","545879","544532","533505","536185.6","536005.2","526624.6","528593.1","524572.9","518923.1","518221.4","519245.9","516233.8","515548.6","516490","","",
"Switzerland","CHE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","17363","17334","17192","17104","17016","16957","16888","16861","16874","16739","16654","16628","16537","16475","16438","16426","16414","16449","16587","16539","16490","16441","16393","16345","16296","16248","16200","16151","16104","16057","16009","15962","15915","15868","15821","15788","15757","15723","15691","15660","15626","15595","15562","15532","15500","15468","15435","15406","15375","15346","15316","15287","15248.795","15219.027","15189.336","15159.731","15129.99","15100.756","","",
"Channel Islands","CHI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","90","90","90","90","90","90","90","90","89","89","89","89","88","88","88","88","88","87","87","87","87","87","86","86","86","86","86","85","85","85","85","85","84","84","84","84","81","80","79","79","75","74","74","75","76","84","82","81","88","91.1","96.1","95.6","94.6","95.2","92.6","92.9","92.2","92.2","","",
"Chile","CHL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","133860","135560","137260","138980","140690","142380","144580","146780","148480","151000","153500","156000","158380","162500","165500","172000","171000","170000","169000","168500","167500","166000","165500","165000","164720","164360","161630","161540","161690","158990","157890","155560","154770","154500","153300","152320","152220","152190","150600","151100","151500","155650","154250","159350","158850","158000","157320","157840","157820","157430","157890","157550","157810","157612","157850","157418","157570","156930","","",
"China","CHN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3432480","3460010","3488540","3517060","3555090","3591120","3627150","3663130","3709280","3755180","3801650","3847810","3903880","3970290","4016370","4075333.333","4134286.667","4193960","4239605","4285190","4338180","4434180","4538310","4654380","4772440","4833530","4886610","4942790","5003880","5065920","5122710","5151980","5191060","5237130","5237140","5237520","5237442.5","5237385","5237347.5","5237310","5243228.444","5249146.889","5255055.333","5260913.778","5266822.222","5272720.667","5278619.111","5284517.556","5290386","5289168","5288851","5287995","5288015","5286950","5286334","5285529","5285311","5285287","","",
"Cote d'Ivoire","CIV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","156800","158800","158800","159800","160800","160800","161500","161500","162000","162000","163000","163100","164400","166250","167150","168400","170800","172100","172250","172550","173700","174900","175840","179010","181800","182800","184000","187200","188200","189300","189500","192000","195020","197000","198000","198000","197000","197000","196000","196000","196000","196000","196000","200000","202000","203000","206000","206000","206000","206000","206000","207000","212000","212000","212000","212000","212000","212000","","",
"Cameroon","CMR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","75100","75700","76200","76800","77400","78000","78700","79200","79700","79780","80280","80950","81600","82800","83950","85100","86440","86710","89120","89300","89600","90100","90600","91100","91600","92300","92100","92100","91900","91700","91500","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","92100","92130","92130","92130","92630","93130","97000","97500","97500","97500","97500","97500","97500","97500","97500","","",
"Congo, Dem. Rep.","COD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","250500","250700","251000","251300","251500","251700","252000","252500","253000","253500","254000","254500","255000","255500","255500","256000","256300","256500","256500","257000","257500","257700","258000","258500","259000","259500","259500","259500","259500","259600","259800","260000","260000","260000","258000","258000","257000","257000","256000","256000","255500","255500","255500","255500","255500","255860","256500","257000","257450","260000","262000","307760","314000","321000","322000","320000","315000","315000","","",
"Congo, Rep.","COG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","105400","105400","105420","105430","105430","105430","105430","105430","105440","105480","105480","105500","105540","105580","105620","105680","105650","105200","105220","105250","105280","105540","105580","105620","105680","105650","105400","105420","105440","105210","105230","105250","105300","105180","105200","105220","105360","105380","105440","105400","105400","105400","105400","105450","105470","105500","105500","105500","105630","105760","105960","106020","106270","106270","106270","106270","106280","106280","","",
"Colombia","COL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","399700","409720","414930","419950","430080","430200","430230","430250","430300","430300","450540","450680","450840","450990","451150","451300","453150","452610","452770","452920","453080","453230","453390","453560","453750","453950","454010","452830","451830","450830","448840","449830","449030","448650","445130","449200","450820","455430","456680","448590","417450","416070","420510","423910","425570","421740","424360","426140","425400","425030","417210","426176","448156","447847","447539","447230","494990","494920","","",
"Comoros","COM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","1000","1000","1000","1000","1000","1000","1100","1100","1100","1130","1140","1140","1140","1140","1150","1150","1200","1220","1240","1260","1300","1320","1330","1350","1350","1350","1350","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1320","1310","1310","","",
"Cabo Verde","CPV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","670","670","680","680","690","690","690","700","700","720","720","710","710","730","740","740","750","750","760","760","780","780","780","780","840","840","790","790","790","790","790","","",
"Costa Rica","CRI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13950","14100","14200","14850","15550","16350","16360","17160","17900","18560","18870","18870","20480","20480","21220","22050","22870","23600","24430","25160","25990","26790","26820","27480","26810","26120","25390","24630","23780","21986","22036.18","21600","21130","20950","20480","19950","19530","19150","18880","18400","18330","18260","18290","18220","18050","18150","18000","17930","18160","18190","18190","18120","18010","17780","17775","17775","17795","17825","","",
"Caribbean small states","CSS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","22340","22370","22400","22420","22200","22340","22330","22350","22390","22320","22410","22390","22530","22549","22540","23360","24240","25150","25982","25975","25968","25800","25672","25725","25778","25842","25946.6","25973","26039.4","19643.3","19746.63","19839.96","20214.29","20196.62","20145.95","20144.28","20074.61","19993.94","20067.27","20074.8","20044.21","19918.62","20011.03","19931.74","19786.85","19823.36","19808.57","19713.08","19932.49","19937.9","20054.8","20123.7","20335.6","20497.5","20692.4","20774.4","20856.5","20948.5","","",
"Cuba","CUB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35500","38050","40380","47550","45480","45100","46210","47270","47450","50220","50730","55810","58510","56310","58100","59970","60380","59480","58620","59370","59380","60830","61790","61420","62220","64510","67260","67880","67720","67410","67550","67750","67300","66860","66840","66150","66870","66740","66600","65540","66560","66540","66380","65280","66370","66300","66200","65670","65138","64612","64078","64056","63423","62788.8","62403","62267","63000","63000","","",
"Curacao","CUW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","","",
"Cyprus","CYP","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4040","4020","4050","4030","4020","4000","4010","4010","3990","3980","3960","3940","3942","2870","1803","1779","1761","1743","1725","1715","1759","1820","1830","1820","1628","1632","1624","1614","1614","1606","1592","1596","1587","1434","1431","1432","1422","1442","1442","1415","1400","1400","1540","1560","1670","1570","1472","1156","1276","1145","1163","1169","1088.3","1089.8","1266.8","1093.9","1214.2","1309.47","","",
"Czech Republic","CZE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42820","42840","42800","42800","42800","42840","42820","42800","42780","42720","42690","42650","42600","42540","42490","42440","42390","42340","42290","42250","35210","35160","34940","34880","35210","35230","","",
"Germany","DEU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","193750","193930","194020","194580","195340","195310","194120","192850","192540","190230","189520","189490","188970","188210","187920","187580","187090","186590","185940","185190","184610","183960","183300","182840","182440","182080","181250","180970","180560","180320","171360","169510","171620","173080","173430","173370","173270","173730","171520","170680","170340","169670","170010","170130","170310","169460","169500","169210","168860","167000","167190","166640","166970","167250","167310","166570","166870","166450","","",
"Djibouti","DJI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","12990","13360","13710","14010","14010","14510","14810","15010","15010","15510","16010","16810","17010","17010","17010","17010","17013","17015","17012","17013","17016","17020","17020","17020","17020","17020","17020","17020","17020","","",
"Dominica","DMA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","170","180","170","170","180","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","180","180","180","180","180","180","180","170","170","170","170","190","210","220","220","220","220","220","220","220","220","230","250","250","250","250","250","250","250","250","250","","",
"Denmark","DNK","Agricultural land (sq. km)","AG.LND.AGRI.K2","","31600","31410","30880","30680","30330","30270","30230","30170","29910","29750","29510","29560","29860","29320","29370","29330","29270","29210","29200","29050","28970","28870","28460","28550","28340","28190","27980","27870","27740","27880","27700","27560","27390","26910","27260","27160","26880","26720","26440","26470","26760","26650","26580","26460","27070","27100","26630","26680","26340","26260","26900","26240","26280","26526.31","26338.99","26256.3","26312.89","26320","","",
"Dominican Republic","DOM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","21900","22050","22200","22350","22500","22650","22800","22900","23300","23350","23440","23700","24050","24250","24550","25100","25400","25650","25900","26200","26250","26300","26300","26300","26300","26370","26370","26370","26410","25460","25460","25460","25460","25460","25760","25750","25000","25100","24670","25150","25150","25150","24350","24170","24170","24170","24170","23970","23970","23970","23970","23520","23520","23520","24290","24290","24290","24290","","",
"Algeria","DZA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","454710","449000","445100","441640","441670","441670","442510","442030","442030","442160","454330","453960","443040","443360","437530","440210","438320","438430","438200","438300","391710","391070","392820","396100","390510","386880","387790","388170","387600","386760","386220","388650","388620","396400","396490","396360","396900","398260","397310","400210","401090","398550","399057","411450","412110","411810","412520","413090","413800","413740","413880","413981.9","414316.35","414310","414564","413602","413351.408","413588.47","","",
